               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029257,            0.020395,          0.00045094,             0.94993,             0.96445,             0.97767,             0.70937,            0.022392,           0.0065868,          0.00017398,           0.0030888,           0.0030888,           0.0030888
                  36,            0.028104,             0.01961,          0.00044602,             0.95384,             0.95182,             0.97393,             0.70672,            0.022282,            0.006428,           0.0001756,            0.002855,            0.002855,            0.002855
                  37,            0.028088,            0.019421,          0.00046153,             0.93594,             0.97119,               0.976,             0.70631,            0.022156,           0.0062926,          0.00016902,           0.0026316,           0.0026316,           0.0026316
                  38,            0.028215,            0.020587,          0.00039041,             0.95794,             0.95188,             0.97658,             0.71385,            0.022094,           0.0063223,            0.000148,           0.0024195,           0.0024195,           0.0024195
                  39,            0.027601,             0.01926,          0.00043742,             0.95968,               0.953,             0.97632,             0.71776,            0.021777,           0.0062094,          0.00015423,           0.0022196,           0.0022196,           0.0022196
                  40,            0.027656,            0.019216,          0.00046418,             0.95644,             0.95757,             0.97649,             0.71366,            0.021938,           0.0061954,          0.00015962,           0.0020327,           0.0020327,           0.0020327
                  41,            0.026979,            0.019959,          0.00044365,             0.95654,              0.9593,             0.97477,             0.72128,            0.021776,           0.0061969,          0.00014946,           0.0018594,           0.0018594,           0.0018594
                  42,            0.027042,            0.020864,          0.00040071,             0.95495,             0.95701,              0.9739,             0.72737,            0.021106,           0.0062099,          0.00013774,           0.0017005,           0.0017005,           0.0017005
                  43,            0.027168,            0.021431,          0.00033487,             0.95838,             0.95758,             0.97473,             0.72997,            0.021001,           0.0061665,          0.00013639,           0.0015566,           0.0015566,           0.0015566
                  44,            0.027155,            0.020173,           0.0003829,             0.95974,             0.95758,             0.97627,              0.7298,            0.021501,            0.006046,          0.00013802,           0.0014283,           0.0014283,           0.0014283
                  45,            0.026641,            0.019873,          0.00038077,             0.95803,             0.96045,             0.97684,             0.72304,            0.021262,           0.0060797,          0.00012807,            0.001316,            0.001316,            0.001316
                  46,            0.025719,            0.017073,          0.00030356,             0.94739,             0.96045,              0.9764,             0.73056,            0.020892,           0.0059809,          0.00012736,           0.0012202,           0.0012202,           0.0012202
                  47,             0.02616,            0.018571,          0.00038028,             0.96179,             0.95757,              0.9792,             0.72673,            0.021005,           0.0059567,          0.00012887,           0.0011414,           0.0011414,           0.0011414
                  48,            0.025806,            0.020126,          0.00037185,             0.96057,             0.96275,             0.97868,             0.72757,            0.020782,           0.0059523,          0.00012609,           0.0010797,           0.0010797,           0.0010797
                  49,            0.025846,            0.019271,          0.00037872,             0.95598,             0.96672,             0.98039,             0.73139,            0.020614,             0.00595,          0.00012611,           0.0010355,           0.0010355,           0.0010355
