               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091752,            0.031733,            0.016966,              0.7266,             0.28611,             0.21322,            0.053422,            0.067574,            0.016552,           0.0055496,           0.0033273,           0.0033273,            0.070055
                   1,            0.068877,             0.02662,           0.0045698,             0.84731,             0.37443,             0.37611,             0.14789,            0.056421,             0.01218,           0.0020974,           0.0066591,           0.0066591,            0.040053
                   2,            0.061254,            0.023497,           0.0029689,             0.44787,             0.61829,             0.46808,             0.16426,            0.052826,            0.010924,           0.0021175,           0.0099851,           0.0099851,            0.010046
                   3,             0.05619,            0.021988,           0.0025591,             0.61137,             0.62723,             0.54148,              0.2101,             0.05175,            0.011304,           0.0030905,             0.00998,             0.00998,             0.00998
                   4,            0.051177,            0.021739,           0.0020816,             0.72055,             0.75442,             0.70904,             0.29017,            0.044674,           0.0097248,           0.0010311,             0.00998,             0.00998,             0.00998
