               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029517,            0.015149,          0.00048247,             0.96545,             0.95128,             0.97421,              0.6896,            0.023321,            0.006677,          0.00028281,           0.0076679,           0.0076679,           0.0076679
                  36,             0.02903,            0.015236,          0.00044894,             0.95584,              0.9478,             0.97009,             0.67832,            0.023671,           0.0066476,          0.00032186,            0.007543,            0.007543,            0.007543
                  37,            0.028638,            0.015176,          0.00051461,              0.9533,             0.95817,             0.97622,             0.67605,            0.023439,           0.0065018,          0.00033378,            0.007416,            0.007416,            0.007416
                  38,             0.02926,            0.015437,          0.00044439,               0.962,             0.95328,             0.97319,             0.68896,            0.023298,           0.0064027,          0.00031537,           0.0072872,           0.0072872,           0.0072872
                  39,            0.028465,            0.015021,           0.0004417,             0.95728,             0.95529,             0.97648,             0.71122,            0.022589,           0.0064226,          0.00028503,           0.0071566,           0.0071566,           0.0071566
                  40,            0.028507,            0.015007,          0.00045944,             0.95706,               0.953,             0.97598,             0.69385,            0.023037,           0.0064309,          0.00022868,           0.0070243,           0.0070243,           0.0070243
                  41,            0.027646,            0.014688,          0.00040893,             0.95976,             0.95076,             0.97636,             0.69715,            0.022879,           0.0064793,          0.00024379,           0.0068906,           0.0068906,           0.0068906
                  42,            0.027798,            0.014893,          0.00043443,             0.96526,              0.9537,             0.97695,             0.72154,            0.022028,           0.0062689,          0.00021501,           0.0067555,           0.0067555,           0.0067555
                  43,            0.027475,            0.014794,          0.00037676,             0.95871,             0.95501,             0.97727,             0.72415,            0.021572,           0.0062067,          0.00022075,           0.0066191,           0.0066191,           0.0066191
                  44,            0.027325,            0.014446,          0.00040888,             0.95853,             0.95465,             0.97313,             0.71437,            0.021695,             0.00634,          0.00029557,           0.0064816,           0.0064816,           0.0064816
